county,office,district,party,candidate,votes
Adams,Justice of the Supreme Court (Term Commencing 01/01/2013),,,Michael Skindell,2459
Adams,Justice of the Supreme Court (Term Commencing 01/01/2013),,,Terrence O'Donnell,5526
Adams,Justice of the Supreme Court (Term Commencing 01/02/2013),,,Robert Cupp,4435
Adams,Justice of the Supreme Court (Term Commencing 01/02/2013),,,William O'Neill,3766
Adams,Justice of the Supreme Court (Unexpired Term Ending 12/31/2014),,,Sharon Kennedy,5791
Adams,Justice of the Supreme Court (Unexpired Term Ending 12/31/2014),,,Yvette Brown,2273
Adams,President,,,Richard Duncan,55
Adams,President,,C,Virgil Goode,32
Adams,President,,D,Barack Obama,3976
Adams,President,,G,Jill Stein,55
Adams,President,,L,Gary Johnson,98
Adams,President,,R,Mitt Romney,6865
Adams,President,,S,Stewart Alexander,8
Adams,State House,90,D,John Haas,3779
Adams,State House,90,R,Terry Johnson,6391
Adams,State Senate,14,R,Joe Uecker,6778
Adams,U.S. House,2,D,William Smith,3900
Adams,U.S. House,2,R,Brad Wenstrup,6598
Adams,U.S. Senate,,,Scott Rupert,609
Adams,U.S. Senate,,D,Sherrod Brown,3924
Adams,U.S. Senate,,R,Josh Mandel,6410
Allen,Justice of the Supreme Court (Term Commencing 01/01/2013),,,Michael Skindell,11800
Allen,Justice of the Supreme Court (Term Commencing 01/01/2013),,,Terrence O'Donnell,26436
Allen,Justice of the Supreme Court (Term Commencing 01/02/2013),,,Robert Cupp,32801
Allen,Justice of the Supreme Court (Term Commencing 01/02/2013),,,William O'Neill,9800
Allen,Justice of the Supreme Court (Unexpired Term Ending 12/31/2014),,,Sharon Kennedy,25798
Allen,Justice of the Supreme Court (Unexpired Term Ending 12/31/2014),,,Yvette Brown,12621
Allen,President,,,Richard Duncan,110
Allen,President,,C,Virgil Goode,60
Allen,President,,D,Barack Obama,17914
Allen,President,,G,Jill Stein,164
Allen,President,,L,Gary Johnson,464
Allen,President,,R,Mitt Romney,29502
Allen,President,,S,Stewart Alexander,22
Allen,State House,4,D,Robert Huenke,15552
Allen,State House,4,R,Matt Huffman,31075
Allen,State Senate,12,L,Paul Hinds,10420
Allen,State Senate,12,R,Keith Faber,31917
Allen,U.S. House,4,D,Jim Slone,14233
Allen,U.S. House,4,L,Chris Kalla,1594
Allen,U.S. House,4,R,Jim Jordan,31072
Allen,U.S. Senate,,,Scott Rupert,1535
Allen,U.S. Senate,,D,Sherrod Brown,17456
Allen,U.S. Senate,,R,Josh Mandel,28817
Ashland,Justice of the Supreme Court (Term Commencing 01/01/2013),,,Michael Skindell,4936
Ashland,Justice of the Supreme Court (Term Commencing 01/01/2013),,,Terrence O'Donnell,12841
Ashland,Justice of the Supreme Court (Term Commencing 01/02/2013),,,Robert Cupp,8527
Ashland,Justice of the Supreme Court (Term Commencing 01/02/2013),,,William O'Neill,8905
Ashland,Justice of the Supreme Court (Unexpired Term Ending 12/31/2014),,,Sharon Kennedy,11115
Ashland,Justice of the Supreme Court (Unexpired Term Ending 12/31/2014),,,Yvette Brown,6236
Ashland,President,,,Richard Duncan,84
Ashland,President,,C,Virgil Goode,91
Ashland,President,,D,Barack Obama,8281
Ashland,President,,G,Jill Stein,115
Ashland,President,,L,Gary Johnson,221
Ashland,President,,R,Mitt Romney,15519
Ashland,President,,S,Stewart Alexander,19
Ashland,State House,70,D,Steve Johnson,7655
Ashland,State House,70,R,Dave Hall,14580
Ashland,State Senate,22,D,James Riley,7675
Ashland,State Senate,22,R,Larry Obhof,14818
Ashland,U.S. House,7,D,Joyce Healy-Abrams,7260
Ashland,U.S. House,7,R,Bob Gibbs,16015
Ashland,U.S. Senate,,,Scott Rupert,1593
Ashland,U.S. Senate,,D,Sherrod Brown,8006
Ashland,U.S. Senate,,R,Josh Mandel,14260
Ashtabula,Justice of the Supreme Court (Term Commencing 01/01/2013),,,Michael Skindell,10907
Ashtabula,Justice of the Supreme Court (Term Commencing 01/01/2013),,,Terrence O'Donnell,23868
Ashtabula,Justice of the Supreme Court (Term Commencing 01/02/2013),,,Robert Cupp,13971
Ashtabula,Justice of the Supreme Court (Term Commencing 01/02/2013),,,William O'Neill,21108
Ashtabula,Justice of the Supreme Court (Unexpired Term Ending 12/31/2014),,,Sharon Kennedy,20439
Ashtabula,Justice of the Supreme Court (Unexpired Term Ending 12/31/2014),,,Yvette Brown,14466
Ashtabula,President,,,Richard Duncan,176
Ashtabula,President,,C,Virgil Goode,94
Ashtabula,President,,D,Barack Obama,23803
Ashtabula,President,,G,Jill Stein,224
Ashtabula,President,,L,Gary Johnson,433
Ashtabula,President,,R,Mitt Romney,18298
Ashtabula,President,,S,Stewart Alexander,34
Ashtabula,State House,64,D,Tom Letson,1824
Ashtabula,State House,64,R,Randy Law,2157
Ashtabula,State House,99,D,John Patterson,21196
Ashtabula,State House,99,R,Casey Kozlowski,16928
Ashtabula,State Senate,32,D,Capri Cafaro,25781
Ashtabula,State Senate,32,R,Nancy McArthur,15891
Ashtabula,U.S. House,14,D,Dale Blanchard,19169
Ashtabula,U.S. House,14,G,Elaine Mastromatteo,1752
Ashtabula,U.S. House,14,L,David Macko,1781
Ashtabula,U.S. House,14,R,David Joyce,17706
Ashtabula,U.S. Senate,,,Scott Rupert,2848
Ashtabula,U.S. Senate,,D,Sherrod Brown,21973
Ashtabula,U.S. Senate,,R,Josh Mandel,17780
Athens,Justice of the Supreme Court (Term Commencing 01/01/2013),,,Michael Skindell,8128
Athens,Justice of the Supreme Court (Term Commencing 01/01/2013),,,Terrence O'Donnell,10874
Athens,Justice of the Supreme Court (Term Commencing 01/02/2013),,,Robert Cupp,6721
Athens,Justice of the Supreme Court (Term Commencing 01/02/2013),,,William O'Neill,12388
Athens,Justice of the Supreme Court (Unexpired Term Ending 12/31/2014),,,Sharon Kennedy,9184
Athens,Justice of the Supreme Court (Unexpired Term Ending 12/31/2014),,,Yvette Brown,10732
Athens,President,,,Richard Duncan,102
Athens,President,,C,Virgil Goode,43
Athens,President,,D,Barack Obama,18307
Athens,President,,G,Jill Stein,188
