precinct,precinct_key,district_num,district_code,area_weight,vote_weight,source_votes
ADAMS - AAA,ADAMS - AAA,090,090,0.9999999448,0.9999999448,0.0086555454
ADAMS - AAA,ADAMS - AAA,091,091,0.0000000552,0.0000000552,0.0000000005
ADAMS - AAB,ADAMS - AAB,090,090,1,1,0.004601731
ADAMS - AAC,ADAMS - AAC,090,090,1,1,0.0065413257
ADAMS - AAD,ADAMS - AAD,090,090,0.9999999427,0.9999999427,0.0146020237
ADAMS - AAD,ADAMS - AAD,091,091,0.0000000573,0.0000000573,0.0000000008
ADAMS - AAE,ADAMS - AAE,090,090,1,1,0.0148217986
ADAMS - AAF,ADAMS - AAF,090,090,1,1,0.000068261
ADAMS - AAG,ADAMS - AAG,090,090,1,1,0.0045899424
ADAMS - AAH,ADAMS - AAH,090,090,1,1,0.006988391
ADAMS - AAI,ADAMS - AAI,090,090,1,1,0.0064018307
ADAMS - AAJ,ADAMS - AAJ,090,090,1,1,0.0003385054
ADAMS - AAK,ADAMS - AAK,090,090,1,1,0.0001354995
ADAMS - AAL,ADAMS - AAL,090,090,1,1,0.0000514457
ADAMS - AAM,ADAMS - AAM,090,090,1,1,0.000138087
ADAMS - AAN,ADAMS - AAN,090,090,1,1,0.007138873
ADAMS - AAO,ADAMS - AAO,090,090,1,1,0.0095089497
ADAMS - AAP,ADAMS - AAP,090,090,1,1,0.0001493267
ADAMS - AAQ,ADAMS - AAQ,090,090,1,1,0.0001687303
ADAMS - AAR,ADAMS - AAR,090,090,1,1,0.0075354534
ADAMS - AAS,ADAMS - AAS,090,090,1,1,0.0077983384
ADAMS - AAT,ADAMS - AAT,090,090,1,1,0.0030674281
ADAMS - AAU,ADAMS - AAU,090,090,1,1,0.0002709307
ADAMS - AAV,ADAMS - AAV,090,090,1,1,0.0067656317
ADAMS - AAW,ADAMS - AAW,090,090,1,1,0.0060889004
ADAMS - AAX,ADAMS - AAX,090,090,1,1,0.0058175798
ADAMS - AAY,ADAMS - AAY,090,090,1,1,0.008385777
ADAMS - AAZ,ADAMS - AAZ,090,090,1,1,0.0046575739
ADAMS - ABA,ADAMS - ABA,090,090,1,1,0.0002020156
ADAMS - ABB,ADAMS - ABB,090,090,1,1,0.0001042435
ADAMS - ABC,ADAMS - ABC,090,090,1,1,0.0001293848
ADAMS - ABD,ADAMS - ABD,090,090,1,1,0.0002949504
ADAMS - ABE,ADAMS - ABE,090,090,1,1,0.0000322196
ADAMS - ABF,ADAMS - ABF,090,090,1,1,0.0074923649
ADAMS - ABG,ADAMS - ABG,090,090,1,1,0.0080930569
ADAMS - ABH,ADAMS - ABH,090,090,1,1,0.0007075235
