precinct,precinct_key,district_num,district_code,area_weight,vote_weight,source_votes
ADAMS - AAA,ADAMS - AAA,14,14,1,1,0.0086644319
ADAMS - AAB,ADAMS - AAB,14,14,1,1,0.0111428398
ADAMS - AAD,ADAMS - AAD,14,14,1,1,0.0145941385
ADAMS - AAE,ADAMS - AAE,14,14,1,1,0.0148979351
ADAMS - AAG,ADAMS - AAG,14,14,1,1,0.0115785817
ADAMS - AAI,ADAMS - AAI,14,14,1,1,0.011604704
ADAMS - AAK,ADAMS - AAK,14,14,1,1,0.0006685812
ADAMS - AAN,ADAMS - AAN,14,14,1,1,0.0166482221
ADAMS - AAP,ADAMS - AAP,14,14,1,1,0.0003166586
ADAMS - AAR,ADAMS - AAR,14,14,1,1,0.0075379739
ADAMS - AAS,ADAMS - AAS,14,14,1,1,0.0077988852
ADAMS - AAT,ADAMS - AAT,14,14,1,1,0.0098229799
ADAMS - AAU,ADAMS - AAU,14,14,1,1,0.0002727221
ADAMS - AAW,ADAMS - AAW,14,14,1,1,0.0119034348
ADAMS - AAY,ADAMS - AAY,14,14,1,1,0.0083816298
ADAMS - AAZ,ADAMS - AAZ,14,14,1,1,0.0046321425
ADAMS - ABA,ADAMS - ABA,14,14,1,1,0.0003235667
ADAMS - ABC,ADAMS - ABC,14,14,1,1,0.0004366465
ADAMS - ABE,ADAMS - ABE,14,14,1,1,0.0075323373
ADAMS - ABG,ADAMS - ABG,14,14,1,1,0.0080920745
ADAMS - ABH,ADAMS - ABH,14,14,1,1,0.000708506
ALLEN - AAA,ALLEN - AAA,12,12,1,1,0.0000996371
ALLEN - AAC,ALLEN - AAC,12,12,1,1,0.000217074
ALLEN - AAE,ALLEN - AAE,12,12,1,1,0.0001733685
ALLEN - AAG,ALLEN - AAG,12,12,1,1,0.0000595491
ALLEN - AAH,ALLEN - AAH,12,12,1,1,0.0004306121
ALLEN - AAJ,ALLEN - AAJ,12,12,1,1,0.0001003335
ALLEN - AAK,ALLEN - AAK,12,12,1,1,0.0000630389
ALLEN - AAO,ALLEN - AAO,12,12,1,1,0.0001664077
ALLEN - AAP,ALLEN - AAP,12,12,1,1,0.0001187661
ALLEN - AAQ,ALLEN - AAQ,12,12,1,1,0.0000749244
ALLEN - AAW,ALLEN - AAW,12,12,1,1,0.0000911376
ALLEN - AAX,ALLEN - AAX,12,12,1,1,0.0001394665
ALLEN - AAY,ALLEN - AAY,12,12,1,1,0.0003507821
ALLEN - ABE,ALLEN - ABE,12,12,1,1,0.0000899131
ALLEN - ABF,ALLEN - ABF,12,12,1,1,0.0000766365
ALLEN - ABH,ALLEN - ABH,12,12,1,1,0.0001002724
ALLEN - ABI,ALLEN - ABI,12,12,1,1,0.0000970981
ALLEN - ABP,ALLEN - ABP,12,12,1,1,0.0000677615
ALLEN - ABQ,ALLEN - ABQ,12,12,1,1,0.0000833091
ALLEN - ABR,ALLEN - ABR,12,12,1,1,0.0000865495
ALLEN - ABT,ALLEN - ABT,12,12,1,1,0.0003051451
ALLEN - ABW,ALLEN - ABW,12,12,1,1,0.000223211
ALLEN - ABX,ALLEN - ABX,12,12,1,1,0.0001016137
ALLEN - ABZ,ALLEN - ABZ,12,12,1,1,0.000576062
ALLEN - ACD,ALLEN - ACD,12,12,1,1,0.0002425917
ALLEN - ACE,ALLEN - ACE,12,12,1,1,0.0001034854
ALLEN - ACG,ALLEN - ACG,12,12,1,1,0.0001218847
ALLEN - ACT,ALLEN - ACT,12,12,1,1,0.0046491047
ALLEN - ACU,ALLEN - ACU,12,12,1,1,0.0048456383
ALLEN - ACW,ALLEN - ACW,12,12,1,1,0.0016650212
ALLEN - ACX,ALLEN - ACX,12,12,1,1,0.0009810432
ALLEN - ACY,ALLEN - ACY,12,12,1,1,0.0005783163
ALLEN - ACZ,ALLEN - ACZ,12,12,1,1,0.0000778081
ALLEN - ADA,ALLEN - ADA,12,12,1,1,0.0002358874
ALLEN - ADB,ALLEN - ADB,12,12,1,1,0.0000492027
ALLEN - ADC,ALLEN - ADC,12,12,1,1,0.0006028956
ALLEN - ADD,ALLEN - ADD,12,12,1,1,0.0001077188
ALLEN - ADE,ALLEN - ADE,12,12,1,1,0.0004429903
ALLEN - ADF,ALLEN - ADF,12,12,1,1,0.0011449043
ALLEN - ADG,ALLEN - ADG,12,12,1,1,0.0003917713
ALLEN - ADI,ALLEN - ADI,12,12,1,1,0.0000979112
ALLEN - ADQ,ALLEN - ADQ,12,12,1,1,0.0001990377
ALLEN - ADR,ALLEN - ADR,12,12,1,1,0.0001050689
ALLEN - ADT,ALLEN - ADT,12,12,1,1,0.005761866
ALLEN - ADU,ALLEN - ADU,12,12,1,1,0.0000649534
ALLEN - ADW,ALLEN - ADW,12,12,1,1,0.0041411537
ALLEN - ADY,ALLEN - ADY,12,12,1,1,0.0010248598
ALLEN - ADZ,ALLEN - ADZ,12,12,1,1,0.002186136
ALLEN - AEA,ALLEN - AEA,12,12,1,1,0.0014950273
ALLEN - AEB,ALLEN - AEB,12,12,1,1,0.0009481615
ALLEN - AEC,ALLEN - AEC,12,12,1,1,0.0006844278
ALLEN - AED,ALLEN - AED,12,12,1,1,0.0013664257
ALLEN - AEE,ALLEN - AEE,12,12,1,1,0.0008486993
ALLEN - AEF,ALLEN - AEF,12,12,1,1,0.0001008298
ALLEN - AEG,ALLEN - AEG,12,12,1,1,0.0001987081
ALLEN - AEN,ALLEN - AEN,12,12,1,1,0.0054743443
ALLEN - AEO,ALLEN - AEO,12,12,1,1,0.0000642335
ALLEN - AEQ,ALLEN - AEQ,12,12,1,1,0.0044145756
ALLEN - AES,ALLEN - AES,12,12,1,1,0.0059348141
ALLEN - AET,ALLEN - AET,12,12,1,1,0.0052816198
ALLEN - AEW,ALLEN - AEW,12,12,1,1,0.000076591
ALLEN - AEX,ALLEN - AEX,12,12,1,1,0.0054273753
ALLEN - AEY,ALLEN - AEY,12,12,1,1,0.0045016171
ALLEN - AEZ,ALLEN - AEZ,12,12,1,1,0.0053087533
ALLEN - AFB,ALLEN - AFB,12,12,1,1,0.0022343188
ALLEN - AFC,ALLEN - AFC,12,12,1,1,0.001500997
ALLEN - AFE,ALLEN - AFE,12,12,1,1,0.0001742917
ALLEN - AFF,ALLEN - AFF,12,12,1,1,0.0055638336
ALLEN - AFG,ALLEN - AFG,12,12,1,1,0.0051421215
ALLEN - AFI,ALLEN - AFI,12,12,1,1,0.0002540257
ALLEN - AFJ,ALLEN - AFJ,12,12,1,1,0.0002937119
ALLEN - AFK,ALLEN - AFK,12,12,1,1,0.0001757456
ALLEN - AFN,ALLEN - AFN,12,12,1,1,0.0003766907
ALLEN - AFO,ALLEN - AFO,12,12,1,1,0.0004467138
ALLEN - AFP,ALLEN - AFP,12,12,1,1,0.0002248635
ALLEN - AFQ,ALLEN - AFQ,12,12,1,1,0.0010659836
ALLEN - AFR,ALLEN - AFR,12,12,1,1,0.0001952058
ALLEN - AFS,ALLEN - AFS,12,12,1,1,0.0002459214
ALLEN - AFT,ALLEN - AFT,12,12,1,1,0.0009863154
ALLEN - AFU,ALLEN - AFU,12,12,1,1,0.0002785588
ALLEN - AFV,ALLEN - AFV,12,12,1,1,0.0022700945
ALLEN - AGB,ALLEN - AGB,12,12,1,1,0.000217123
ALLEN - AGC,ALLEN - AGC,12,12,1,1,0.0005099524
ALLEN - AGD,ALLEN - AGD,12,12,1,1,0.0012590296
ALLEN - AGI,ALLEN - AGI,12,12,1,1,0.0061783751
ALLEN - AGK,ALLEN - AGK,12,12,1,1,0.0001381939
ALLEN - AGL,ALLEN - AGL,12,12,1,1,0.0001281551
ALLEN - AGN,ALLEN - AGN,12,12,1,1,0.0066943004
ASHLAND - AAA,ASHLAND - AAA,22,22,1,1,0.0001155117
ASHLAND - AAB,ASHLAND - AAB,22,22,1,1,0.000212507
ASHLAND - AAD,ASHLAND - AAD,22,22,1,1,0.0002709188
ASHLAND - AAF,ASHLAND - AAF,22,22,1,1,0.0001182504
ASHLAND - AAG,ASHLAND - AAG,22,22,1,1,0.0001613255
ASHLAND - AAH,ASHLAND - AAH,22,22,1,1,0.0002671938
ASHLAND - AAJ,ASHLAND - AAJ,22,22,1,1,0.0001852641
ASHLAND - AAQ,ASHLAND - AAQ,22,22,1,1,0.0000494348
ASHLAND - AAS,ASHLAND - AAS,22,22,1,1,0.0001393851
ASHLAND - AAU,ASHLAND - AAU,22,22,1,1,0.000472897
ASHLAND - AAV,ASHLAND - AAV,22,22,1,1,0.0001301736
ASHLAND - AAZ,ASHLAND - AAZ,22,22,1,1,0.0003889869
ASHLAND - ABB,ASHLAND - ABB,22,22,1,1,0.0000603285
ASHLAND - ABC,ASHLAND - ABC,22,22,1,1,0.0005521991
ASHLAND - ABG,ASHLAND - ABG,22,22,1,1,0.007022657
ASHLAND - ABI,ASHLAND - ABI,22,22,1,1,0.0052804131
ASHLAND - ABJ,ASHLAND - ABJ,22,22,1,1,0.0048523464
ASHLAND - ABN,ASHLAND - ABN,22,22,1,1,0.0088923085
ASHLAND - ABO,ASHLAND - ABO,22,22,1,1,0.0003331973
ASHLAND - ABS,ASHLAND - ABS,22,22,1,1,0.0020404274
ASHLAND - ABT,ASHLAND - ABT,22,22,1,1,0.006700567
ASHLAND - ABV,ASHLAND - ABV,22,22,1,1,0.0055743498
ASHLAND - ABZ,ASHLAND - ABZ,22,22,1,1,0.0020349633
