district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,587217,74.03,17.28,2.85,0.1,2.57,0.06,0.29
2,District 2,607459,94.26,2.09,1.17,0.09,0.48,0.03,0.17
3,District 3,566459,62.72,25.89,3.75,0.06,3.98,0.04,0.44
4,District 4,598947,89.09,4.41,2.09,0.12,1.75,0.04,0.25
5,District 5,605509,87.52,3.57,6.2,0.09,0.6,0.03,0.18
6,District 6,615809,89.42,5.58,2.54,0.07,0.37,0.02,0.26
7,District 7,602266,89.47,3.19,3.36,0.07,2.14,0.03,0.2
8,District 8,579226,80.19,12.14,2.5,0.1,2.1,0.04,0.29
9,District 9,600184,79.54,11.16,6.03,0.06,0.96,0.03,0.23
10,District 10,597248,76.47,15.99,2.78,0.04,1.54,0.03,0.45
11,District 11,592220,46.23,42.35,6.7,0.07,1.96,0.03,0.42
12,District 12,607779,91.12,3.68,1.6,0.05,1.37,0.04,0.18
13,District 13,604056,81.29,11.5,2.02,0.08,2.14,0.02,0.25
14,District 14,618388,90.09,4.87,2.44,0.06,0.71,0.02,0.22
15,District 15,573033,79.94,10.58,3.44,0.08,2.83,0.04,0.38
