district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,766434,27741,738759,559873,129499,681,18809,386,2830,12781,7144,4956,1700,9548,23725,143990,587998,14982,573054,446564,94837,506,13265,293,1733,6235,5675,2365,1509,7717,15636,102582
2,777865,11410,766455,727115,14141,716,4025,275,1955,8422,6099,3451,266,7077,7470,22826,610783,7435,603346,575286,12028,543,3322,180,1173,3742,5036,1804,233,5808,5126,16012
3,735257,38044,697229,424710,208282,347,28895,251,4611,17334,2787,7795,2067,5192,36676,227708,566459,21265,545194,355288,146648,341,22556,247,2470,9218,2179,4499,1581,4100,27052,157476
4,782913,21225,761671,690054,34781,763,7222,338,2603,15167,6192,3543,1205,8166,10777,51136,599839,13141,586706,538360,26802,693,5176,254,1501,6202,4841,2114,948,6485,7317,33927
5,779794,59377,720465,656638,34052,623,5467,190,1761,13714,4095,2999,636,5364,8457,48425,611367,39329,572064,527196,26416,550,4099,181,1180,6918,3296,1525,475,4339,5603,33848
6,774590,23853,750678,681389,44880,560,2526,162,2158,12082,3930,2258,627,5122,4793,57528,607911,15143,592726,544975,33354,510,2039,108,1361,5555,2962,1263,531,4003,3308,39363
7,763464,31002,732451,669896,25686,449,16806,303,1677,8291,2887,6269,218,3555,23073,34242,605504,20278,585230,541520,19486,413,13073,172,1217,3794,2216,3207,180,2809,16281,23479
8,759298,29442,729803,574007,101738,881,19716,325,3653,16520,6000,6035,1109,7967,25765,119372,578587,15006,563553,457460,73503,706,14158,249,1779,6985,4935,2949,946,6560,17086,81428
9,770545,54117,716399,593821,90005,436,7195,382,1971,15407,3717,2978,526,4664,10172,105932,597628,34508,563093,478326,65962,403,5597,236,1344,5972,3083,1776,409,3877,7373,72328
10,769073,26964,742093,571021,124172,419,11997,192,3770,19186,4281,6014,973,5673,18036,144313,598362,16817,581536,459575,93316,230,9329,177,2522,8742,3511,3277,811,4552,12621,102866
11,750495,57073,693425,318676,332748,488,14614,172,3693,15580,2089,3454,1849,4427,18070,350181,592220,39676,552546,273763,250807,413,11591,168,2501,7861,1770,2042,1565,3748,13632,260233
12,788003,16191,771839,694259,34396,362,20400,251,1768,10822,4683,4422,483,5536,24834,45711,599932,10103,589833,538871,25077,344,13256,259,1025,4847,3672,2097,398,4418,15354,30314
13,764355,19766,744581,593635,97281,442,19444,217,2860,20520,3499,4914,1935,5871,24352,119738,604851,12531,592321,487732,72340,423,13620,146,1586,9907,2830,2363,1497,4749,15978,83791
14,777791,24820,753023,691886,35955,478,5390,222,1922,10497,3485,2898,266,4227,8286,46726,618608,15335,603301,560638,27367,346,3848,153,1420,4801,2801,1661,233,3381,5508,32412
15,760420,37301,723100,581427,88238,641,21556,242,3384,15350,5571,6099,761,6977,27661,104320,575751,19091,556657,462446,60621,488,15533,210,2213,7720,4619,2332,652,5757,17861,68972
